address,price,price_m2,bathrooms,size_construction,size,rooms,description,planta,exterior,preservation,floor_type,last_updated
Nord-El Sucre-Universitat (Vic),800 €, 7  €/m²,: 2,: 101 m² ,: 89 m² ,: 3,"
            CÉNTRICO PISO DE ALQUILER EN VIC. Superf. 101 m², útil 88.88 m²,  3 habitaciones ( 1 suite,  1 doble,  1 individual),  2 baños, cocina, lavadero, comedor, terraza, trastero (incluido en el precio), suelos (gres y parquet), garaje (incluido en el precio), ascensor, armarios (empotrados), calefacción (gas natural), puerta blindada, año construcción (1988), gastos comunidad (incluidos en el precio), agua (de alta), luz (de alta), gas (de alta), carpintería interior, Estado certificación: Disponible, Consumo de energía (F) 278 Kw h / m²a, Emisiones (E) 58 Kg CO2 / m²a, no se admiten animales.
        ",: 1ª,: Entre 20 y 30 años,: En buen estado,,"
                Actualizado el 05/11/2023
            "
La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),1.400 €, 35  €/m²,: Bajo,: 40 m² ,: 1,: 1,"
            Este apartamento cuenta con un único espacio y un baño. Wi-Fi instalado: si. Calefacción y aire acondicionado",: IF76306-I-00KS2V-W-02TRSG,,,,"
                Actualizado el 03/11/2023
            "
Les Corts (Distrito Les Corts. Barcelona Capital),2.600 €, 34  €/m²,: 2,: 76 m² ,: 76 m² ,: 3,"
            REF: 002657",: 1ª,,: Entre 20 y 30 años,,"
                Actualizado el 03/11/2023
            "
L'Eixample-Torreblanca (Sant Cugat del Vallès),2.850 €,,: 3,: 168 m² ,: 168 m² ,: 2,"
            Exquisita casa pareada en el Eixample, totalmente reformada, amueblada y con jardín privado.",: Pareada,: En buen estado,: IF76306-I-00KRHZ-W-02S77P,,"
                Actualizado el 03/11/2023
            "
La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),3.500 €,,: En buen estado,: 228 m² ,: 4,: 3,"
            El  piso  se ha reformado en la totalidad de su elementos,  todo en el piso es nuevo   con unas calidades extraordinarias, las partes antiguas  has sido restauradas.",: IF6819-106 GRACIA II,,,,"
                Actualizado el 28/10/2023
            "
La Creu Alta (Sabadell),1.400 €, 13  €/m²,: 2,: 106 m² ,: 90 m² ,: 3,"
            Desde Mbimmobles os ofrecemos este amplio y luminoso piso de 3 dormitorios ( dos dobles y uno individual) dos baños completos ( uno con bañera y el otro con plato de ducha). Salón comedor con salida al balcón, cocina office y cuarto lavadero. Suelo de tarima, puerta de Haya, calefacción a gas y aire acondicionado en toda la vivienda. Ubicado en una de las mejores zonas de Sabadell. ( Creu Alta ). Bien comunicado y con todos los servicios. Parada de los Ferrocarriles de Generalitat de la Creu Alta, buena comunicación de entrada y salida a la ciudad y a 10 minutos andando de la plaza del ayuntamiento.",: 3ª,: SA1627-AV0202/5310,,,"
                Actualizado el 07/09/2023
            "
Sant Vicenç de Montalt,780 €,,: 3ª,: 28 m² ,: 25 m² ,: 1,"
            HOTEL MONTALTMAR: APARTAMENTO / ESTUDIO en alquiler en régimen de hospedaje en el Hotel Montaltmar de Sant Vicenç de Montalt. Ocupación para 1/2 personas máximo.",,: En buen estado,: SA2963-HM301,,"
                Actualizado el 27/10/2023
            "
La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),2.200 €,,: En buen estado,: 120 m² ,: 3,: 2,"
            Estupendo piso temporal en Eixample izquierda. El piso tiene un amplio salón, cocina, dos dormitorio doble y una habitación individual  y dos baños completos. El apartamento está equipado con todo el mobiliario y electrodomésticos y todo lo necesario para una estancia cómoda y agradable. El precioso piso cuenta con una agradable terraza con mucha luz natural. La vivienda se encuentra a menos de 5 minutos andando de la parada de metro de Rocafort en una zona con muchos comercios y servicios. Un piso perfecto para una estancia temporal en una zona céntrica.",: IF76306-I-00KCZI-W-02QE0E,,,,"
                Actualizado el 04/10/2022
            "
Sant Adrià de Besòs,2.500 €,,: En buen estado,: 120 m² ,: 3,: 2,"
            Exclusividad - finca nueva - balcon grande - piscina - wifi - alto standing- piso de 3 habitaciones en finca de altas prestaciones.. Totalmente amueblado y equipado con acabados de altísima calidad. Acabados e interiores bien cuidados. Exclusiva zona en calle muy tranquila y bien situada, a pocos metros de la playa. Gran salón comedor luminoso con acceso a terraza amueblada privada, con cocina con todos los electrodomesticos empotrados(lavadora/lavavajillas/nevera). Balcón. Dispone de 3 habitaciones, 1 doble, suite grande con vestidor y 2 individuales. 2 baños completos.  aire acondicionado y calefacción. Wifi incluido en el precio. Televisor. Finca con ascensor. Balcon grande  y piscina comunitaria  muy soleada y zona ajardinada.  finca muy exclusiva.",: IF6507-152675,,,,"
                Actualizado el 18/10/2023
            "
Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),3.800 €, 25  €/m²,: Bajo,: 150 m² ,: 3,: 2,"
            Este luminosa vivienda está totalmente amueblada y equipada. La propiedad dispone de 3 dormitorios dobles y 2 baños, 1 de los baños es en suite. Hay que destacar el amplio salón y la galería, que le aporta mucha luminosidad a la vivienda. El piso cuenta con calefacción y aire acondicionado. Edificio sin ascensor. Perfecta ubicación, tan solo a unos pasos andando del Soho House y a menos de 15 minutos de la playa de la Barceloneta. La vivienda tiene mucha luz. Alquiler temporales. Amueblado y equipado con todo lo necesario para entrar a vivir. Alta calidad de mobiliario y acabados. Piso de auténtico lujo y diseño.",: En buen estado,: IF76306-I-00KSF7-W-02TT5D,,,"
                Actualizado el 03/11/2023
            "
La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),1.900 €, 42  €/m²,: Bajo,: 45 m² ,: 2,: 1,"
            El piso está ubicado en el Centro de Barcelona en el barrio de la Barceloneta de Ciutat Vella. Tiene 2 dormitorios y está totalmente amueblado y equipado con todo lo necesario.",: En buen estado,: IF76306-I-00KN42-W-02SNO4,,,"
                Actualizado el 03/11/2023
            "
El Camp de l'Arpa del Clot (Distrito Sant Martí. Barcelona Capital),2.400 €, 25  €/m²,: 2,: 95 m² ,: 95 m² ,: 3,"
            REF : 002950",: 1ª,,: Más de 50 años,,"
                Actualizado el 03/11/2023
            "
Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),2.650 €, 33  €/m²,: Bajo,: 80 m² ,: 2,: 2,"
            Apartamento temporal situado en el corazón del borne, una de las zonas más demandadas del centro de Barcelona. Apartamento completamente equipado para garantizar una cómoda estancia. Cuenta con una terraza común con cómodos sofás y vistas únicas.",: En buen estado,: IF76306-I-00KPWW-W-02T7JV,,,"
                Actualizado el 03/11/2023
            "
Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),2.825 €, 23  €/m²,: Bajo,: 120 m² ,: 2,: 2,"
            Apartamento temporal situado en Sant Gervasi muy cerca del Mercado de Galvany, una de las zonas más exclusivas de Barcelona. Apartamento completamente equipado para garantizar una cómoda estanciaEl apartamento cuenta con servicios incluidos: Wifi, 2 limpiezas mantenimiento al mes, suministros hasta 120€/mes, gastos de gestión ITP. Los pisos tienen Aire acondicionado y están totalmente equipado y listo para entrar a vivir. El edificio cuenta con ascensor. Los pisos tiene una ubicación excepcional a tan sólo 1 minuto andando de la parada de ferrocarriles de muntaner.",: En buen estado,: IF76306-I-00KJ54-W-02RS4H,,,"
                Actualizado el 03/11/2023
            "
Súria,450 €,,: 1,: 52 m² ,: 44 m² ,: 1,"
            Piso de alquiler en Súria en tercera planta con ascensor. Dispone de comedor con cocina abierta, una habitación de matrimonio, baño con plato de ducha y un altillo con espacio para pequeño despacho o vestidor.",,: En buen estado,,,"
                Actualizado el 01/11/2023
            "
Zona Nord-La Serreta (Rubí),1.500 €,,: 2,: 166 m² ,: 148 m² ,: 6,"
            Si buscas la comodidad de vivir en una casa rodeada de todos los servicios y comercios, esta es tu oportunidad. Te presentamos esta adosada de 166m2 construidos y 148m2 útiles distribuidos de la siguiente forma:",: Entre 30 y 50 años,: En buen estado,: 1168-AP0135,,"
                Actualizado el 03/11/2023
            "
Sarrià (Distrito Sarrià-Sant Gervasi. Barcelona Capital),5.500 €, 22  €/m²,: Bajo,: 247 m² ,: 4,: 4,"
            En una de las más prestigiosas zonas residenciales de Sarriá, próximo a la Avenida de Pedralbes, encontramos una vivienda exclusiva con jardín privado de 102 m2 con acceso desde salón y zona de habitaciones. La vivienda está situada en una finca construida en al año 2010. Planta baja dúplex de 217 m2 construidos en los que destacan la calidad en los acabados, la privacidad del conjunto y la exclusividad en todos los detalles. El acceso a la vivienda desde la planta inferior nos lleva a una zona diáfana con un amplio salón, una habitación doble en suite, una semi-cocina con zona de aguas y un baño de cortesía. El acceso a planta superior es directo desde el ascensor de la finca o interiormente, por una cómoda escalera que une ambas plantas. En la planta superior encontramos el amplio salón comedor y la cocina abierta con orientación sur y acceso directo al jardín privado de césped artificial. Completan esta planta dos habitaciones, una de ellas un dormitorio principal en suite y vestidor, un dormitorio doble y un baño completo. Todas las estancias son exteriores y con acceso al jardín privado desde el que se accede a zona ajardinada comunitaria y piscina. La vivienda incluye dos plazas de aparcamiento amplias, además de un trastero de 13m2 en la misma finca. Nos encontramos ante una propiedad donde la funcionalidad y el confort se complementan a la perfección. La finca dispone de servicio de conserje y vigilancia las 24 horas.",: En buen estado,: IF76306-I-00KRME-W-02TNCP,,,"
                Actualizado el 03/11/2023
            "
La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),3.500 €, 70  €/m²,: Bajo,: 50 m² ,: 1,: 1,"
            Magnífico piso amueblado de alto standing, con terraza, un dormitorio doble, salón-comedor, cocina completamente equipada y un baño completo con ducha.",: En buen estado,: IF76306-I-00K866-W-02P3CP,,,"
                Actualizado el 03/11/2023
            "
Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),1.750 €, 35  €/m²,: Bajo,: 50 m² ,: 1,: 1,"
            Apartamento temporal situado en el corazón del borne, una de las zonas más demandadas del centro de Barcelona. Apartamento completamente equipado para garantizar una cómoda estancia. Cuenta con una terraza común con cómodos sofás y vistas únicas.",: En buen estado,: IF76306-I-00KN6D-W-02SOCZ,,,"
                Actualizado el 03/11/2023
            "
La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),1.900 €, 42  €/m²,: Bajo,: 45 m² ,: 2,: 1,"
            El piso está ubicado en el Centro de Barcelona en el barrio de la Barceloneta de Ciutat Vella. Tiene 2 dormitorios y está totalmente amueblado y equipado con todo lo necesario.",: En buen estado,: IF76306-I-00KN57-W-02SO8T,,,"
                Actualizado el 03/11/2023
            "
Baixador (Castelldefels),2.800 €, 38  €/m²,: Bajo,: 73 m² ,: 2,: 1,"
            CONSULTAR PRECIO Y DISPONIBILIDAD",: En buen estado,: IF76306-I-00KIYS-W-02RPYL,,,"
                Actualizado el 03/11/2023
            "
La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),3.500 €, 26  €/m²,: Bajo,: 130 m² ,: 3,: 2,"
            Exclusiu pis a la Barceloneta amb espectaculars vistes al port. Lhabitatge està situat en un edifici amb ascensor. Un cop s'accedeix a la vivenda ens trobem a mà dreta la cuina totalment moblada i equipada amb tots els electrodomèstics. Tot seguit, veiem un gran saló-menjador amb una petita terrassa amb espectaculars vistes al port. A més, l'habitatge compta amb 2 dormitoris dobles amb dos banys en suite + una habitació estudi amb zona de treball. L´edifici té ascensor. Perfectament ubicat a uns metres de la platja de la Barceloneta. El pis ha estat reformat i decorat amb mobiliari de luxe.",: IF76306-I-00KPEP-W-02T4E6,,,,"
                Actualizado el 03/11/2023
            "
El Parc-La Llacuna del Poblenou (Distrito Sant Martí. Barcelona Capital),2.045 €, 40  €/m²,: Bajo,: 50 m² ,: 1,: 1,"
            Apartamento temporal ubicado en una de las zonas más exclusivas de Barcelona. Apartamento completamente equipado para garantizar una cómoda estanciaEl apartamento cuenta con servicios incluidos: Wifi, 2 limpiezas mantenimiento al mes, suministros hasta 80€/mes, gastos de gestión ITP. Los pisos tienen Aire acondicionado y están totalmente equipado y listo para entrar a vivir. El edificio cuenta con ascensor. Los pisos tiene una ubicación excepcional en una de las zonas más exclusivas de Barcelona.",: En buen estado,: IF76306-I-00KP0U-W-02SOK8,,,"
                Actualizado el 03/11/2023
            "
Sarrià (Distrito Sarrià-Sant Gervasi. Barcelona Capital),9.500 €,,: DA0-LFR7070,: 678 m² ,: 6,: 4,"
            Esta casa fantástica en alquiler se encuentra en una zona codiciada, cerca de muchas escuelas internacionales.",,,,,"
                Actualizado el 29/10/2023
            "
Alella,2.500 €,,: 2,: 327 m² ,: 259 m² ,: 5,"
            DISPONIBLE OPCIÓN VENTA Y ALQUILER CON OPCIÓN COMPRA.",: XA602-8787,,,,"
                Actualizado el 30/10/2023
            "
La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),1.275 €, 22  €/m²,: 1,: 57 m² ,: 55 m² ,: 2,"
            REF. 001368G",: 3ª,,: En buen estado,,"
                Actualizado el 03/11/2023
            "
El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),2.019 €, 27  €/m²,: Bajo,: 73 m² ,: 2,: 2,"
            Un edificio de 1900 catalogado de interés histórico y artístico con las comodidades del siglo XXI.",: En buen estado,: IF76306-I-00KSBF-W-02TTBR,,,"
                Actualizado el 03/11/2023
            "
Les Corts (Distrito Les Corts. Barcelona Capital),3.500 €, 20  €/m²,: Bajo,: 170 m² ,: 2,: 2,"
            Os presentamos este fantástico piso totalmente amueblado y equipado  con impresionantes vistas al all áreas verdes y despejadas. ",: IF76306-I-00KSDK-W-02TUS0,,,,"
                Actualizado el 03/11/2023
            "
El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.350 €, 19  €/m²,: 1,: 70 m² ,: 70 m² ,: 1,"
            Referencia SL0021",: 4ª,,: Reformado,,"
                Actualizado el 10/10/2023
            "
El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.150 €, 28  €/m²,: 1,: 40 m² ,: 40 m² ,: 1,"
            REF: 003062",: Principal,,: Más de 50 años,,"
                Actualizado el 03/11/2023
            "
Can Girona-Terramar-Vinyet (Sitges),2.650 €, 21  €/m²,: 3,: 124 m² ,: 108 m² ,: 3,"
            Planta baja duplex amueblada frente al mar, de alquiler de larga duración en primera línea de mar de Sitges, en la encantadora zona del Vinyet y en una de las emblemáticas comunidades de propietarios de Sitges- ",: Bajo,: SA1988-PHS100762/7088,,,"
                Actualizado el 19/10/2023
            "
La Sagrada Família (Distrito Eixample. Barcelona Capital),2.300 €, 7  €/m²,: 1,: 297 m² ,: 90 m² ,: 3,"
            Magnífico piso totalmente equipado ideal estudiantes.",: Bajo,: SA1366-ISTZTZEMI358/2015,,,"
                Actualizado el 26/09/2023
            "
Castellví de Rosanes,2.500 €,,: 3,: 339 m² ,: 978 m² ,: 4,"
            Amplia  y  preciosa casa situada en la población de Castellví de Rosanes, a tan sólo 25’ de Barcelona casa con grandes espacios y muchísima luminosidad, con vistas espectaculares des de las terrazas de la casa y  con gran armonia con su entorno natural.",: En buen estado,: IF76646-V7259_A,,,"
                Actualizado el 22/06/2023
            "
Mas d'en Serra-Els Cards (Sant Pere de Ribes),2.200 €, 14  €/m²,: 2,: 155 m² ,: 98 m² ,: 3,"
            Open Inmo Barcelona presenta este precioso dúplex ubicado en la exclusiva zona de Cases del Mar en San Pere de Ribes.",: Bajo,: SA1406-OI01288/5763,,,"
                Actualizado el 31/10/2023
            "
El Raval (Distrito Ciutat Vella. Barcelona Capital),1.300 €,,: 1,: 55 m² ,: 55 m² ,: 2,"
            Piso de 2 habitaciones EN ALQUILER TEMPORAL 11 MESES.",: Más de 50 años,: EP505-21785,,,"
                Actualizado el 04/11/2023
            "
La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),3.600 €, 24  €/m²,: Bajo,: 150 m² ,: 2,: 2,"
            Propiedad única en Vila de Gracia es cálida y acogedora, con suelos de madera y a la vez que combina a la perfección un estilo industrial. Se trata de un piso muy luminoso ya que tiene orientación Sur, techos muy altos y grandes ventanales en las estancias principales con acceso al jardín. El Jardín tiene unos 100m2 y se encuentra decorado con plantas de flor, olivos y césped natural. Tiene riego automático y el alquiler incluye el mantenimiento del jardín. ",: En buen estado,: IF76306-I-00KQWV-W-02TGBI,,,"
                Actualizado el 03/11/2023
            "
Nord-El Sucre-Universitat (Vic),1.200 €, 9  €/m²,: 2,: 121 m² ,: 121 m² ,: 3,"
            Preciós pis al centre de Vic , totalment reformat, en un edifici amb pocs veins i amb tots els comerços i serveis aprop. Un pis super ampli amb un menjador amb una cuina oberta molt acollidora.",: 2ª,,,,"
                Actualizado el 03/10/2023
            "
Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),4.500 €, 23  €/m²,: Bajo,: 190 m² ,: 3,: 3,"
            Este impresionante ático se encuentra en la parte superior de un edificio con vistas panorámicas excepcionales. Al entrar a la vivienda en planta 0 nos encontramos con un salón/estudio/biblioteca y con dos dormitorios dobles y dos baños completos en suite. En la planta 1, te recibirá un salón-comedor espacioso y chic con una gran amplitud y cocina abierta. La sala de estar cuenta con grandes ventanales que llenan el espacio de luz natural y te permiten disfrutar de vistas espectaculares del entorno circundante. Desde la sala de estar, puedes acceder directamente a la terraza privada.",: En buen estado,: IF76306-I-00KQD3-W-02TBL8,,,"
                Actualizado el 03/11/2023
            "
Les Botigues de Sitges (Sitges),5.900 €,,: 4,: 291 m² ,: 5,: 565 m² ,"
            Esta exclusiva villa goza de vistas espectaculares al mar y destaca por su privacidad y tranquilidad en una de las mejores zonas de Castelldefels, en Rat-Penat. ",: DA11-GAVR28532,,,,"
                Actualizado el 02/11/2023
            "
Tona,850 €, 6  €/m²,: 1,: 140 m² ,: 140 m² ,: 3,"
            Magnifica vivienda reformada en zona alta de Tona, situada en planta baja, dispone de un amplio jardín particular en planta baja, la vivienda se compone de cocina con office con salida directa al jardín, comedor amplio, amplia sala de estar con grandes ventanales, tres habitaciones dobles, dos con armario de pared, un baño completo con  ducha i  lavadero., sol todo el día...!!! Mas inmuebles en LACLAUOSONA.CAT
        ",: Bajo,: Todo,: Más de 50 años,,"
                Actualizado el 02/11/2023
            "
Estadi-Horta Vermella-Santa Anna (Vic),925 €, 9  €/m²,: 1,: 95 m² ,: 95 m² ,: 4,"
            PIS PER COMPARTIR!",: 3ª,,,,"
                Actualizado el 18/10/2023
            "
El Camp de l'Arpa del Clot (Distrito Sant Martí. Barcelona Capital),2.300 €, 24  €/m²,: Bajo,: 95 m² ,: 3,: 1,"
            Magnífica vivienda en finca regia rehabilitada. Amueblado, nuevo, con balcones y muy luminoso.",: IF76306-I-00KLBL-W-02S9DS,,,,"
                Actualizado el 03/11/2023
            "
Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),13.000 €, 27  €/m²,: Bajo,: 475 m² ,: 6,: 6,"
            Esta maravillosa propiedad de 475 metros más terraza, se encuentra en la quinta planta de un edificio residencial del año 1975. Se trata de un piso clásico cuatro vientos, caracterizado por su amplitud y luminosidad. Al entrar accedemos a un enorme salón en dos niveles con grandes ventanales y acceso a la terraza. Este espacio se divide a su vez en tres ambientes, una sala biblioteca, un amplio comedor con un elegante lampara de techo y la zona central, con vistas a la terraza, ideal para disfrutar de un cómodo sofá. El comedor nos da paso a la cocina office, con despensa, zona de servicio con habitación y baño completo y lavadero. La biblioteca en cambio comunica con la impresionante master suite en dos ambientes, con vestidor, cuarto con caja fuerte, armarios empotrados y un luminoso baño completo con bañera y ducha. Por un pasillo llegamos a la zona de los otros dormitorios, 4 habitaciones dobles con armarios empotrados, dos en suite y dos compartiendo un baño completo con bañera y ducha. ",: En buen estado,: IF76306-I-00KNZ5-W-02SL7B,,,"
                Actualizado el 03/11/2023
            "
Les Tres Torres (Distrito Sarrià-Sant Gervasi. Barcelona Capital),4.100 €, 17  €/m²,: Bajo,: 240 m² ,: 5,: 4,"
            En el barrio de Tres Torres, en una de las zonas más exclusivas de la ciudad, se encuentra esta elegante propiedad totalmente reformada, en una finca con jardín y pista de frontón. Situada en una prestigiosa calle con poco tráfico, en pleno corazón de Tres Torres, por lo cual disfruta de mucha tranquilidad, pero a la vez de la comodidad de estar muy cerca de comercios, servicios y colegios. La propiedad, donde hay una clara diferenciación entre la zona de día y la de noche se distribuye, en la zona de día, en una espaciosa y luminosa sala de estar con acceso a una amplia terraza y el comedor en una estancia anexa. Gran cocina-office con lavadero, y zona de servicio con dormitorio y baño. La zona de noche dispone actualmente de cuatro habitaciones, la suite principal con amplio vestidor, dos suites juniors, una habitación actualmente destinada a despacho y baño de cortesía. Vivienda muy luminosa, con la mejor orientación, toda exterior y con una distribución muy funcional y práctica. Totalmente reformada con muy buen gusto y con vistas muy agradables a los árboles.. La propiedad dispone de trastero en finca. Esta vivienda es ideal para quien busca tranquilidad, exclusividad y a la vez comodidad.",: En buen estado,: IF76306-I-00KRAX-W-02THJ1,,,"
                Actualizado el 03/11/2023
            "
El Raval (Distrito Ciutat Vella. Barcelona Capital),3.200 €, 42  €/m²,: 2,: 75 m² ,: 75 m² ,: 2,"
            Disponible desde el 18-05-23 al 30-04-24",: Principal,: Reformado,: 4516049-2605 RYC.C03.G8.P-LT,,"
                Actualizado el 27/05/2023
            "
Can Girona-Terramar-Vinyet (Sitges),2.500 €, 19  €/m²,: Bajo,: 130 m² ,: 3,: 2,"
            Magnifico piso a estrenar. Él piso cuenta con  3 amplias habitaciones dos baños completos y todas las comodidades necesarias para una vida cómoda y moderna. La cocina abierta está completamente equipada con electrodomésticos de alta calidad. El salón comedor es luminoso y espacioso, con acceso a una amplia terraza con vistas despejadas. Además, el edificio cuenta con una zona comunitaria con piscina, ascensor, plaza de parking y trastero.  No pierda la oportunidad de vivir en este magnífico piso de obra nueva. ¡Llame ahora para más información y visitas!",: En buen estado,: IF76306-I-00KS3L-W-02TER3,,,"
                Actualizado el 03/11/2023
            "
La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),2.000 €, 20  €/m²,: Bajo,: 96 m² ,: 2,: 1,"
            Libre 11 DE NOVIEMBRE 2022",: En buen estado,: IF76306-I-00KRLW-W-02TN72,,,"
                Actualizado el 03/11/2023
            "
Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),2.245 €, 44  €/m²,: Bajo,: 50 m² ,: 1,: 1,"
            Apartamento temporal situado en Sant Gervasi muy cerca del Mercado de Galvany, una de las zonas más exclusivas de Barcelona. Apartamento completamente equipado para garantizar una cómoda estancia. El apartamento cuenta con servicios incluidos: Wifi, 2 limpiezas mantenimiento al mes, suministros hasta 120€/mes, gastos de gestión ITP. Los pisos tienen Aire acondicionado y están totalmente equipado y listo para entrar a vivir. El edificio cuenta con ascensor. Los pisos tiene una ubicación excepcional a tan sólo 1 minuto andando de la parada de ferrocarriles de Muntaner.",: En buen estado,: IF76306-I-00KQFJ-W-02SOEC,,,"
                Actualizado el 03/11/2023
            "
Sant Feliu de Codines,840 €,,: 2,: 144 m² ,: 125 m² ,: 3,"
            Casa de pueblo muy céntrica situada en una calle tranquila. Reformada con rigor y con estilo rústico y moderno. Vigas de madera, aplacados de piedra,  etc.",: SA1359-LLOG-RGDEFL/6415,,,,"
                Actualizado el 01/11/2023
            "
Sarrià (Distrito Sarrià-Sant Gervasi. Barcelona Capital),1.600 €, 20  €/m²,: Bajo,: 80 m² ,: 3,: 1,"
            Este hermoso apartamento se encuentra justo al lado de los Jardines de Santa Amelia muy acogedor . Cuenta con un amplio salón comedor que se ilumina con luz natural .  Dispone de tres habitaciones, dos dobles,  una individual y un baño. La cocina esta totalmente equipada.",: En buen estado,: IF76306-I-00KRY4-W-02TMS7,,,"
                Actualizado el 03/11/2023
            "
Llevantina-Montgavina-Quint-Mar-Garraf (Sitges),3.800 €,,: 4,: 259 m² ,: 220 m² ,: 605 m² ,"
            Home Penthouse presenta esta casa una familiar aislada, totalmente amueblada y de alto standing, con amplias estancias.",: 2,: SA2295-5800622/7510,: 1,,"
                Actualizado el 30/10/2023
            "
Sant Vicenç de Montalt,1.900 €,,: AG506-798-J,: 180 m² ,: 4,: 3,"
            ¡Oportunidad de alquiler en Sant Vicenç de Montalt, zona Sorli!",,,,,"
                Actualizado el 03/11/2023
            "
Canet de Mar,1.150 €, 10  €/m²,: 2,: 115 m² ,: 100 m² ,: 3,"
            Piso 2º, superficie 115 m², útil 100 m², habitaciones dobles: 3, 2 baños, ascensor, balcón, calefacción gas natural, carpintería exterior aluminio, cocina (office), comedor con salida a balcón, buen estado conservación, parking, jardín con piscina comunitaria, soleado, terraza
        ",: 2ª,: 1,: Entre 10 y 20 años,,"
                Actualizado el 30/10/2023
            "
Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),6.500 €, 38  €/m²,: Bajo,: 170 m² ,: 3,: 3,"
            Este maravilloso piso totalmente amueblado a estrenar se encuentra en una elegante finca de los años 30 de la exclusiva zona del Turó de Barcelona y ha sido reformado a nivel premium por el prestigioso estudio Turull Sorensen. Toda la propiedad respira elegancia y serenidad.",: IF76306-I-00KQQD-W-02S1W4,,,,"
                Actualizado el 03/11/2023
            "
Canet de Mar,2.700 €,,: 5,: 440 m² ,: 360 m² ,: 1.000 m² ,"
            Casa unifamiliar, plta baja + 2. En plta baja dispone de cocina, 1 aseo, salon. En planta 1ª  dispone de 2 habitaciones dobles, 2 baños + salon. en 3ª planta dispone de 1 habitacion doble, 1 baño, 1 cocina y 1  pequeño salon. ",: 5,: Entre 30 y 50 años,: A reformar,,"
                Actualizado el 27/10/2023
            "
Nord-El Sucre-Universitat (Vic),450 €,,: 1,: 15 m² ,: 11 m² ,: 1,"
            Alquiler de habitaciones en Vic, en pleno centro, muy bien comunicado en el ámbito de servicios, universidad y transporte público, disponemos de cinco plazas, cada habitación tiene llave propia. En el precio del alquiler va incluido: luz, agua, calefacción, electricidad, internet y servicio de limpieza semanal, en todos los espacios comunes. Este anuncio va dirigido únicamente a estudiantes y no se admiten animales.    Si este inmueble es a su medida, no olvide llamar para pedir cita previa ; )    //finqueskmzero.cat.
        ",: Menos de 5 años,: Reformado,: API266-10237,,"
                Actualizado el 05/10/2023
            "
Sant Andreu de La Barca,750 €, 11  €/m²,: 1,: 63 m² ,: 50 m² ,: 2,"
            Vivienda de VPO por lo que es imprescindible estar registrado como solicitante en la oficina d'Habitatge
        ",: 4ª,,: Entre 10 y 20 años,,"
                Actualizado el 27/10/2023
            "
Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),2.000 €, 31  €/m²,: Bajo,: 63 m² ,: 1,: 1,"
            Acogedor piso amueblado y totalmente equipado, muy luminoso, situado en edificio de nueva construcción, con vistas a la Barceloneta. Edificio con ascensor y servicio de vigilancia las 24 horas.",: En buen estado,: IF76306-I-00KLY6-W-02SE6Q,,,"
                Actualizado el 03/11/2023
            "
El Parc-La Llacuna del Poblenou (Distrito Sant Martí. Barcelona Capital),2.550 €,,: En buen estado,: 124 m² ,: 3,: 2,"
            Maravilloso piso de 124m2 de vivienda de obra nueva terminada en 2023 con diseño funcional y moderno situado en un conjunto residencial en Glories. ",: IF76306-I-00KONM-W-02SOZU,,,,"
                Actualizado el 31/08/2023
            "
Sarrià (Distrito Sarrià-Sant Gervasi. Barcelona Capital),3.450 €, 25  €/m²,: Bajo,: 134 m² ,: 3,: 2,"
            En el tranquilo y exclusivo barrio de Sarrià, rodeado de numerosas tiendas, restaurantes y muy cerca de grandes áreas verdes, encontramos éste magnífico piso de obra nueva.",: IF76306-I-00KRA9-W-02T3J2,,,,"
                Actualizado el 03/11/2023
            "
